engine,engine_version,tree_files,pft2_inode_index_depth,pft2_directory_depth,workload,rep,operations,logical_bytes,format_bytes,path_write_bytes,kernel_disk_bytes,duration_ms,kernel_amplification,three_way_kernel_amplification,kernel_bytes_per_op,go_version,os,arch,groups,clean_copied_bytes,index_disk_bytes,store_disk_bytes,sync_p50_us,sync_p99_us,sync_max_us
seglog,spike,128,-1,-1,random-4k,1,32,131072,132928,135232,479232,130,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,10986,161283,3834,4111,4180
pebble,v2.1.6,128,-1,-1,random-4k,1,32,131072,-1,-1,462848,128,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,141808,0,0,0
seglog,spike,128,-1,-1,random-4k,2,32,131072,132928,135232,479232,138,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,10934,161231,3825,4143,5656
pebble,v2.1.6,128,-1,-1,random-4k,2,32,131072,-1,-1,462848,131,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,141808,0,0,0
seglog,spike,128,-1,-1,random-4k,3,32,131072,132928,135232,479232,140,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,10965,161262,3955,4147,4230
pebble,v2.1.6,128,-1,-1,random-4k,3,32,131072,-1,-1,462848,133,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,141808,0,0,0
seglog,spike,128,-1,-1,sequential-append,1,32,131072,132928,135232,479232,140,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,10249,160546,3914,4146,4327
pebble,v2.1.6,128,-1,-1,sequential-append,1,32,131072,-1,-1,462848,133,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,141808,0,0,0
seglog,spike,128,-1,-1,sequential-append,2,32,131072,132928,135232,479232,139,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,10249,160546,3857,4126,4142
pebble,v2.1.6,128,-1,-1,sequential-append,2,32,131072,-1,-1,462848,138,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,141808,0,0,0
seglog,spike,128,-1,-1,sequential-append,3,32,131072,132928,135232,479232,137,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,10249,160546,3795,4117,4133
pebble,v2.1.6,128,-1,-1,sequential-append,3,32,131072,-1,-1,462848,130,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,141808,0,0,0
seglog,spike,128,-1,-1,small-creates,1,32,4096,135232,139072,479232,147,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,32,0,11586,165723,3969,4162,6969
pebble,v2.1.6,128,-1,-1,small-creates,1,32,4096,-1,-1,479232,129,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,145776,0,0,0
seglog,spike,128,-1,-1,small-creates,2,32,4096,135232,139072,479232,139,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,32,0,11586,165723,3803,4195,4199
pebble,v2.1.6,128,-1,-1,small-creates,2,32,4096,-1,-1,479232,130,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,145776,0,0,0
seglog,spike,128,-1,-1,small-creates,3,32,4096,135232,139072,479232,140,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,32,0,11586,165723,3805,4180,4359
pebble,v2.1.6,128,-1,-1,small-creates,3,32,4096,-1,-1,479232,131,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,145776,0,0,0
seglog,spike,128,-1,-1,rename,1,32,0,4256,8096,266240,129,,,8320.000,go1.26.5,darwin,arm64,32,0,9692,32853,3687,4125,4164
pebble,v2.1.6,128,-1,-1,rename,1,32,0,-1,-1,217088,123,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,14692,0,0,0
seglog,spike,128,-1,-1,rename,2,32,0,4256,8096,266240,126,,,8320.000,go1.26.5,darwin,arm64,32,0,9692,32853,3653,4108,4176
pebble,v2.1.6,128,-1,-1,rename,2,32,0,-1,-1,217088,107,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,14692,0,0,0
seglog,spike,128,-1,-1,rename,3,32,0,4256,8096,266240,109,,,8320.000,go1.26.5,darwin,arm64,32,0,9692,32853,3076,3729,3782
pebble,v2.1.6,128,-1,-1,rename,3,32,0,-1,-1,217088,103,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,14692,0,0,0
seglog,spike,128,-1,-1,chmod,1,32,0,1312,2848,331776,114,,,10368.000,go1.26.5,darwin,arm64,32,0,10140,28053,3138,3792,4077
pebble,v2.1.6,128,-1,-1,chmod,1,32,0,-1,-1,135168,121,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,9284,0,0,0
seglog,spike,128,-1,-1,chmod,2,32,0,1312,2848,331776,123,,,10368.000,go1.26.5,darwin,arm64,32,0,10038,27951,3226,4168,5083
pebble,v2.1.6,128,-1,-1,chmod,2,32,0,-1,-1,135168,112,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,9284,0,0,0
seglog,spike,128,-1,-1,chmod,3,32,0,1312,2848,331776,132,,,10368.000,go1.26.5,darwin,arm64,32,0,10107,28020,3748,4145,4324
pebble,v2.1.6,128,-1,-1,chmod,3,32,0,-1,-1,135168,127,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,9284,0,0,0
seglog,spike,128,-1,-1,mkdir,1,32,0,3616,6688,262144,127,,,8192.000,go1.26.5,darwin,arm64,32,0,10824,32577,3640,4182,4202
pebble,v2.1.6,128,-1,-1,mkdir,1,32,0,-1,-1,196608,126,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,13252,0,0,0
seglog,spike,128,-1,-1,mkdir,2,32,0,3616,6688,262144,126,,,8192.000,go1.26.5,darwin,arm64,32,0,10824,32577,3622,4190,4207
pebble,v2.1.6,128,-1,-1,mkdir,2,32,0,-1,-1,196608,118,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,13252,0,0,0
seglog,spike,128,-1,-1,mkdir,3,32,0,3616,6688,262144,118,,,8192.000,go1.26.5,darwin,arm64,32,0,10824,32577,3195,3729,3732
pebble,v2.1.6,128,-1,-1,mkdir,3,32,0,-1,-1,196608,114,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,13252,0,0,0
seglog,spike,128,-1,-1,mixed,1,100,288000,335140,343300,1470464,389,5.105778,15.317333,14704.640,go1.26.5,darwin,arm64,100,0,13199,371564,3735,4152,4177
pebble,v2.1.6,128,-1,-1,mixed,1,100,288000,-1,-1,1495040,380,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,350400,0,0,0
seglog,spike,128,-1,-1,mixed,2,100,288000,335140,343300,1470464,386,5.105778,15.317333,14704.640,go1.26.5,darwin,arm64,100,0,13104,371469,3772,4426,4589
pebble,v2.1.6,128,-1,-1,mixed,2,100,288000,-1,-1,1495040,382,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,350400,0,0,0
seglog,spike,128,-1,-1,mixed,3,100,288000,335140,343300,1470464,396,5.105778,15.317333,14704.640,go1.26.5,darwin,arm64,100,0,13175,371540,3745,4155,5172
pebble,v2.1.6,128,-1,-1,mixed,3,100,288000,-1,-1,1495040,399,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,350400,0,0,0
seglog,spike,4096,-1,-1,random-4k,1,32,131072,132928,135232,479232,138,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,161354,775955,3787,4121,4155
pebble,v2.1.6,4096,-1,-1,random-4k,1,32,131072,-1,-1,462848,131,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,218804,0,0,0
seglog,spike,4096,-1,-1,random-4k,2,32,131072,132928,135232,479232,148,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,161351,775952,4002,4794,4974
pebble,v2.1.6,4096,-1,-1,random-4k,2,32,131072,-1,-1,462848,131,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,218804,0,0,0
seglog,spike,4096,-1,-1,random-4k,3,32,131072,132928,135232,479232,142,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,161352,775953,3762,4110,7309
pebble,v2.1.6,4096,-1,-1,random-4k,3,32,131072,-1,-1,462848,129,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,218804,0,0,0
seglog,spike,4096,-1,-1,sequential-append,1,32,131072,132928,135232,479232,133,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,160449,775050,3720,4133,4147
pebble,v2.1.6,4096,-1,-1,sequential-append,1,32,131072,-1,-1,462848,127,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,218804,0,0,0
seglog,spike,4096,-1,-1,sequential-append,2,32,131072,132928,135232,479232,134,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,160449,775050,3735,4126,4133
pebble,v2.1.6,4096,-1,-1,sequential-append,2,32,131072,-1,-1,462848,128,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,218804,0,0,0
seglog,spike,4096,-1,-1,sequential-append,3,32,131072,132928,135232,479232,140,3.656250,10.968750,14976.000,go1.26.5,darwin,arm64,32,0,160449,775050,3770,4133,4140
pebble,v2.1.6,4096,-1,-1,sequential-append,3,32,131072,-1,-1,462848,128,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,218804,0,0,0
seglog,spike,4096,-1,-1,small-creates,1,32,4096,135232,139072,475136,134,116.000000,348.000000,14848.000,go1.26.5,darwin,arm64,32,0,161700,780141,3793,4104,4129
pebble,v2.1.6,4096,-1,-1,small-creates,1,32,4096,-1,-1,479232,141,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,222772,0,0,0
seglog,spike,4096,-1,-1,small-creates,2,32,4096,135232,139072,475136,135,116.000000,348.000000,14848.000,go1.26.5,darwin,arm64,32,0,161700,780141,3727,4232,5597
pebble,v2.1.6,4096,-1,-1,small-creates,2,32,4096,-1,-1,479232,137,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,222772,0,0,0
seglog,spike,4096,-1,-1,small-creates,3,32,4096,135232,139072,475136,136,116.000000,348.000000,14848.000,go1.26.5,darwin,arm64,32,0,161700,780141,3780,4153,4169
pebble,v2.1.6,4096,-1,-1,small-creates,3,32,4096,-1,-1,479232,135,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,222772,0,0,0
seglog,spike,4096,-1,-1,rename,1,32,0,4256,8096,348160,122,,,10880.000,go1.26.5,darwin,arm64,32,0,159899,647364,3310,3772,3809
pebble,v2.1.6,4096,-1,-1,rename,1,32,0,-1,-1,217088,116,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,91688,0,0,0
seglog,spike,4096,-1,-1,rename,2,32,0,4256,8096,348160,130,,,10880.000,go1.26.5,darwin,arm64,32,0,159899,647364,3666,4187,4225
pebble,v2.1.6,4096,-1,-1,rename,2,32,0,-1,-1,217088,117,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,91688,0,0,0
seglog,spike,4096,-1,-1,rename,3,32,0,4256,8096,348160,126,,,10880.000,go1.26.5,darwin,arm64,32,0,159899,647364,3566,4104,4113
pebble,v2.1.6,4096,-1,-1,rename,3,32,0,-1,-1,217088,130,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,91688,0,0,0
seglog,spike,4096,-1,-1,chmod,1,32,0,1312,2848,274432,146,,,8576.000,go1.26.5,darwin,arm64,32,0,160438,642655,3944,5994,6136
pebble,v2.1.6,4096,-1,-1,chmod,1,32,0,-1,-1,135168,128,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,86280,0,0,0
seglog,spike,4096,-1,-1,chmod,2,32,0,1312,2848,274432,134,,,8576.000,go1.26.5,darwin,arm64,32,0,160417,642634,3793,4147,4362
pebble,v2.1.6,4096,-1,-1,chmod,2,32,0,-1,-1,135168,113,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,86280,0,0,0
seglog,spike,4096,-1,-1,chmod,3,32,0,1312,2848,274432,122,,,8576.000,go1.26.5,darwin,arm64,32,0,160422,642639,3237,3750,4155
pebble,v2.1.6,4096,-1,-1,chmod,3,32,0,-1,-1,135168,113,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,86280,0,0,0
seglog,spike,4096,-1,-1,mkdir,1,32,0,3616,6688,331776,126,,,10368.000,go1.26.5,darwin,arm64,32,0,161033,647090,3303,4125,4489
pebble,v2.1.6,4096,-1,-1,mkdir,1,32,0,-1,-1,196608,107,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,90248,0,0,0
seglog,spike,4096,-1,-1,mkdir,2,32,0,3616,6688,331776,120,,,10368.000,go1.26.5,darwin,arm64,32,0,161033,647090,3157,3876,4029
pebble,v2.1.6,4096,-1,-1,mkdir,2,32,0,-1,-1,196608,104,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,90248,0,0,0
seglog,spike,4096,-1,-1,mkdir,3,32,0,3616,6688,331776,114,,,10368.000,go1.26.5,darwin,arm64,32,0,161033,647090,3148,3713,3730
pebble,v2.1.6,4096,-1,-1,mkdir,3,32,0,-1,-1,196608,116,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,90248,0,0,0
