engine,target_utilization,live_cells,phase,window,operations,logical_bytes,kernel_disk_bytes,kernel_amplification,three_way_kernel_amplification,kernel_bytes_per_op,foreground_appended_bytes,clean_copied_bytes,clean_passes,reclaimed_bytes,index_disk_bytes,store_disk_bytes,live_bytes,total_log_bytes,occupancy,space_amplification,pebble_compacted_bytes,pebble_flush_bytes,pebble_wal_bytes,duration_ms,logical_mib_per_s,admit_wait_ms,admit_overruns
seglog,0.70,262144,warmup,0,524288,2147483648,3852066816,1.793758,5.381275,7347.234,3782420811,1614360825,197,3304884603,4509375,1567611789,1084489728,1563102414,0.693806,1.445483,0,0,0,24347,84.117,0,0
seglog,0.70,262144,steady,1,262144,1073741824,2080890880,1.937981,5.813942,7937.969,2038410030,952813155,122,2046684270,20220972,1575061434,1084489728,1553777352,0.697970,1.452353,0,0,0,12800,79.998,0,0
seglog,0.70,262144,steady,2,262144,1073741824,2074234880,1.931782,5.795345,7912.578,2039493852,953884638,122,2046684438,10870492,1557457258,1084489728,1546586766,0.701215,1.436120,0,0,0,12757,80.264,0,0
seglog,0.70,262144,steady,3,262144,1073741824,2073067520,1.930695,5.792084,7908.125,2033780895,949222239,121,2029908231,4755885,1555269120,1084489728,1550459430,0.699463,1.434102,0,0,0,12871,79.557,0,0
seglog,0.70,262144,drain,0,0,0,18800640,,,,14599857,13548675,2,33552270,8813315,1540374137,1084489728,1531560822,0.708094,1.420368,0,0,0,170,0.000,0,0
seglog,0.80,262144,warmup,0,524288,2147483648,5483048960,2.553244,7.659731,10458.086,5396520990,3228432060,229,5116683999,10316993,1375719662,1084489728,1364351847,0.794875,1.268541,0,0,0,29890,68.516,120,0
seglog,0.80,262144,steady,1,262144,1073741824,2952142848,2.749397,8.248192,11261.531,2900833116,1816254699,161,2902252179,10732035,1374715641,1084489728,1363983606,0.795090,1.267615,0,0,0,15769,64.934,0,0
seglog,0.80,262144,steady,2,262144,1073741824,2940321792,2.738388,8.215164,11216.438,2888802216,1804228440,160,2868700005,10864516,1396001155,1084489728,1384085817,0.783542,1.287242,0,0,0,15763,64.958,0,0
seglog,0.80,262144,steady,3,262144,1073741824,2944069632,2.741879,8.225636,11230.734,2898764952,1815232860,158,2919028170,4741030,1370665273,1084489728,1364873421,0.794572,1.263880,0,0,0,15843,64.631,0,0
seglog,0.80,262144,drain,0,0,0,65290240,,,,58395291,58377207,4,100656066,11001922,1334665390,1084489728,1323663468,0.819309,1.230685,0,0,0,401,0.000,0,0
seglog,0.90,262144,warmup,0,524288,2147483648,8940888064,4.163425,12.490276,17053.391,8807286480,6638072994,69,8606082303,10441085,1296160766,1084489728,1285719681,0.843488,1.195180,0,0,0,45303,45.206,10554,0
seglog,0.90,262144,steady,1,262144,1073741824,4686684160,4.364815,13.094444,17878.281,4608326739,3522672048,36,4579846815,4692890,1319943317,1084489728,1314199605,0.825209,1.217110,0,0,0,23799,43.025,5653,0
seglog,0.90,262144,steady,2,262144,1073741824,4699176960,4.376450,13.129349,17925.938,4624502385,3538913910,37,4697278680,10894691,1252318001,1084489728,1241423310,0.873586,1.154753,0,0,0,23820,42.989,5674,0
seglog,0.90,262144,steady,3,262144,1073741824,4650053632,4.330700,12.992100,17738.547,4575896772,3490254516,36,4529519082,13296034,1301109322,1084489728,1287801000,0.842125,1.199743,0,0,0,23709,43.190,5296,0
seglog,0.90,262144,drain,0,0,0,509100032,,,,487499652,487487532,4,536832096,7484902,1247004280,1084489728,1239519378,0.874928,1.149853,0,0,0,2422,0.000,0,0
