engine,engine_version,tree_files,pft2_inode_index_depth,pft2_directory_depth,workload,rep,operations,logical_bytes,format_bytes,path_write_bytes,kernel_disk_bytes,duration_ms,kernel_amplification,three_way_kernel_amplification,kernel_bytes_per_op,go_version,os,arch
pft2,repository HEAD,128,1,1,random-4k,1,32,131072,314581,324437,647168,917,4.937500,14.812500,20224.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,random-4k,1,32,131072,-1,-1,3850240,1110,29.375000,88.125000,120320.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,random-4k,2,32,131072,314721,324577,647168,1011,4.937500,14.812500,20224.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,random-4k,2,32,131072,-1,-1,3817472,983,29.125000,87.375000,119296.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,random-4k,3,32,131072,314582,324438,647168,777,4.937500,14.812500,20224.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,random-4k,3,32,131072,-1,-1,3866624,854,29.500000,88.500000,120832.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,sequential-append,1,32,131072,333019,342875,651264,874,4.968750,14.906250,20352.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,sequential-append,1,32,131072,-1,-1,3735552,1031,28.500000,85.500000,116736.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,sequential-append,2,32,131072,333019,342875,667648,1064,5.093750,15.281250,20864.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,sequential-append,2,32,131072,-1,-1,3735552,1141,28.500000,85.500000,116736.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,sequential-append,3,32,131072,333019,342875,663552,1035,5.062500,15.187500,20736.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,sequential-append,3,32,131072,-1,-1,3735552,1230,28.500000,85.500000,116736.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,small-creates,1,32,4096,424560,437232,753664,829,184.000000,552.000000,23552.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,small-creates,1,32,4096,-1,-1,3735552,1109,912.000000,2736.000000,116736.000,go1.26.5,darwin,arm64
